Concat,ZScore_Index,MaxMin_Index,0Percent,Concat2,Indexish,ZScore_Index,MaxMin_Index,NAPercent,GTAP_Region,CLUM_category,year
2004Rest of North AmericaHousing,0,0,100,2007BrazilServices,1145,-0.016485488,0.427610532,25,Brazil,Services,2007
2004Rest of North AmericaPersonal Transportation,1.514677968,0.982554965,33.33333333,2011BrazilFood,480,0.741053394,0.246878489,0,Brazil,Food,2011
2004Rest of North AmericaGoods,0,0,0,2011BrazilGovernment,813,-0.000158638,0.271054503,0,Brazil,Government,2011
2004Rest of North AmericaServices,1.325638732,0.722962365,25,2011BrazilHousing,1804,-0.934678204,0.346975796,0,Brazil,Housing,2011
2004Rest of North AmericaGross Fixed Capital Formation,0,0,0,2011BrazilPersonal Transportation,1479,0.463633661,0.470241014,0,Brazil,Personal Transportation,2011
2004Rest of North AmericaGovernment,0.552891742,0.781661326,63.63636364,2011BrazilServices,1146,0.189393142,0.46649479,25,Brazil,Services,2011
2004ArgentinaFood,0.205458832,0.19996302,0,2004Brunei DarussalamFood,472,0.016378198,0.181778625,0,Brunei Darussalam,Food,2004
2004ArgentinaHousing,-1.157507882,0.281536455,0,2004Brunei DarussalamGovernment,805,0.264919432,0.251087045,45.45454545,Brunei Darussalam,Government,2004
2004ArgentinaPersonal Transportation,0.290887917,0.458244554,0,2004Brunei DarussalamHousing,1809,NA,NA,100,Brunei Darussalam,Housing,2004
2004ArgentinaGoods,0,0,0,2004Brunei DarussalamPersonal Transportation,1471,-0.033968934,0.431016144,0,Brunei Darussalam,Personal Transportation,2004
2004ArgentinaServices,0.111756228,0.498272039,0,2004Brunei DarussalamServices,1138,0.23140144,0.457374171,12.5,Brunei Darussalam,Services,2004
2004ArgentinaGross Fixed Capital Formation,0,0,0,2007Brunei DarussalamFood,473,0.571682331,0.227254718,0,Brunei Darussalam,Food,2007
2004ArgentinaGovernment,0.185309581,0.311005192,0,2007Brunei DarussalamGovernment,806,0.367738744,0.365910246,36.36363636,Brunei Darussalam,Government,2007
2004BoliviaFood,-0.493104086,0.14400544,0,2007Brunei DarussalamHousing,1808,NA,NA,100,Brunei Darussalam,Housing,2007
2004BoliviaHousing,-1.574263993,0.159145912,0,2007Brunei DarussalamPersonal Transportation,1472,0.027459149,0.436201218,0,Brunei Darussalam,Personal Transportation,2007
2004BoliviaPersonal Transportation,-0.072163408,0.427769734,0,2007Brunei DarussalamServices,1139,0.208793677,0.45119179,12.5,Brunei Darussalam,Services,2007
2004BoliviaGoods,0,0,0,2011Brunei DarussalamFood,474,0.651572501,0.23730225,0,Brunei Darussalam,Food,2011
2004BoliviaServices,-0.44643502,0.359030054,37.5,2011Brunei DarussalamGovernment,807,0.265726945,0.323421693,18.18181818,Brunei Darussalam,Government,2011
2004BoliviaGross Fixed Capital Formation,0,0,0,2011Brunei DarussalamHousing,1807,NA,NA,100,Brunei Darussalam,Housing,2011
2004BoliviaGovernment,-0.12737325,0.211911598,9.090909091,2011Brunei DarussalamPersonal Transportation,1473,0.081698962,0.440768367,0,Brunei Darussalam,Personal Transportation,2011
2004BrazilFood,-0.177469603,0.171218636,0,2011Brunei DarussalamServices,1140,0.511245158,0.500789058,12.5,Brunei Darussalam,Services,2011
2004BrazilHousing,-1.129582263,0.28973749,0,2004BulgariaFood,463,0.16841417,0.249449736,20,Bulgaria,Food,2004
2004BrazilPersonal Transportation,0.371867007,0.464171516,0,2004BulgariaGovernment,796,-0.154035112,0.289975412,9.090909091,Bulgaria,Government,2004
2004BrazilGoods,0,0,0,2004BulgariaHousing,1812,0.371772225,0.730646659,0,Bulgaria,Housing,2004
2004BrazilServices,0.03214823,0.43174054,25,2004BulgariaPersonal Transportation,1462,-0.052909688,0.429437185,0,Bulgaria,Personal Transportation,2004
2004BrazilGross Fixed Capital Formation,0,0,0,2004BulgariaServices,1129,0.562127973,0.571969605,0,Bulgaria,Services,2004
2004BrazilGovernment,-0.164022789,0.240392168,0,2007BulgariaFood,464,-0.673262381,0.175756406,20,Bulgaria,Food,2007
2004ChileFood,0.210890299,0.2048807,0,2007BulgariaGovernment,797,-0.055606828,0.306865492,9.090909091,Bulgaria,Government,2007
2004ChileHousing,-0.697344848,0.416674493,0,2007BulgariaHousing,1811,0.173097326,0.672300955,0,Bulgaria,Housing,2007
2004ChilePersonal Transportation,0.024625206,0.43582062,0,2007BulgariaPersonal Transportation,1463,-0.051173693,0.429571605,0,Bulgaria,Personal Transportation,2007
2004ChileGoods,0,0,0,2007BulgariaServices,1130,0.676564821,0.595957428,0,Bulgaria,Services,2007
2004ChileServices,-0.494129387,0.240207913,25,2011BulgariaFood,465,0.283492313,0.259331682,20,Bulgaria,Food,2011
2004ChileGross Fixed Capital Formation,0,0,0,2011BulgariaGovernment,798,0.077273706,0.317530377,9.090909091,Bulgaria,Government,2011
2004ChileGovernment,0.156572662,0.306930748,0,2011BulgariaHousing,1810,-0.125785273,0.584526829,0,Bulgaria,Housing,2011
2004ColombiaFood,-0.108678455,0.177243917,0,2011BulgariaPersonal Transportation,1464,-0.066204875,0.428300857,0,Bulgaria,Personal Transportation,2011
2004ColombiaHousing,-1.516460327,0.176121361,0,2011BulgariaServices,1131,0.766214291,0.617820446,0,Bulgaria,Services,2011
2004ColombiaPersonal Transportation,0.33220474,0.461666018,0,2004Burkina FasoFood,460,-0.585515895,0.135410456,0,Burkina Faso,Food,2004
2004ColombiaGoods,0,0,0,2004Burkina FasoGovernment,793,-0.970780338,0.155960433,36.36363636,Burkina Faso,Government,2004
2004ColombiaServices,-0.066405866,0.464598263,0,2004Burkina FasoHousing,1815,NA,NA,100,Burkina Faso,Housing,2004
2004ColombiaGross Fixed Capital Formation,0,0,0,2004Burkina FasoPersonal Transportation,1459,-1.117687003,0.339608246,0,Burkina Faso,Personal Transportation,2004
2004ColombiaGovernment,-0.095120029,0.257295611,0,2004Burkina FasoServices,1126,-1.432698643,0.305692031,12.5,Burkina Faso,Services,2004
2004EcuadorFood,-0.216482094,0.168237395,0,2007Burkina FasoFood,461,-0.58706072,0.135259222,0,Burkina Faso,Food,2007
2004EcuadorHousing,-0.670564139,0.424539298,0,2007Burkina FasoGovernment,794,-0.496143343,0.165255898,0,Burkina Faso,Government,2007
2004EcuadorPersonal Transportation,0.103412499,0.442584081,0,2007Burkina FasoHousing,1814,NA,NA,100,Burkina Faso,Housing,2007
2004EcuadorGoods,0,0,0,2007Burkina FasoPersonal Transportation,1460,-0.848154354,0.362349933,0,Burkina Faso,Personal Transportation,2007
2004EcuadorServices,-0.821609477,0.288765006,12.5,2007Burkina FasoServices,1127,-1.099333937,0.321691866,0,Burkina Faso,Services,2007
2004EcuadorGross Fixed Capital Formation,0,0,0,2011Burkina FasoFood,462,-0.212943655,0.167156016,0,Burkina Faso,Food,2011
2004EcuadorGovernment,-0.105222369,0.232224896,9.090909091,2011Burkina FasoGovernment,795,-0.275607408,0.228064841,9.090909091,Burkina Faso,Government,2011
2004ParaguayFood,-0.339505709,0.157200585,0,2011Burkina FasoHousing,1813,NA,NA,100,Burkina Faso,Housing,2011
2004ParaguayHousing,0,0,0,2011Burkina FasoPersonal Transportation,1461,-0.451730753,0.395796975,0,Burkina Faso,Personal Transportation,2011
2004ParaguayPersonal Transportation,0.038763515,0.437175517,0,2011Burkina FasoServices,1128,-1.00168355,0.333584737,0,Burkina Faso,Services,2011
2004ParaguayGoods,0,0,0,2004CambodiaFood,601,-0.635844195,0.132177432,0,Cambodia,Food,2004
2004ParaguayServices,-0.332123493,0.422551362,0,2004CambodiaGovernment,934,-0.54935944,0.16875375,0,Cambodia,Government,2004
2004ParaguayGross Fixed Capital Formation,0,0,0,2004CambodiaHousing,1818,NA,NA,100,Cambodia,Housing,2004
2004ParaguayGovernment,-0.303327806,0.268681903,9.090909091,2004CambodiaPersonal Transportation,1600,-0.541542669,0.388218059,0,Cambodia,Personal Transportation,2004
2004PeruFood,-0.320826769,0.160093681,0,2004CambodiaServices,1267,-0.733288803,0.29127354,12.5,Cambodia,Services,2004
2004PeruHousing,0,0,0,2007CambodiaFood,602,0.031565278,0.189649349,0,Cambodia,Food,2007
2004PeruPersonal Transportation,0.088795941,0.441306345,0,2007CambodiaGovernment,935,-0.157930255,0.216050946,0,Cambodia,Government,2007
2004PeruGoods,0,0,0,2007CambodiaHousing,1817,NA,NA,100,Cambodia,Housing,2007
2004PeruServices,-0.122549686,0.453131243,0,2007CambodiaPersonal Transportation,1601,-0.397165685,0.400395444,0,Cambodia,Personal Transportation,2007
2004PeruGross Fixed Capital Formation,0,0,0,2007CambodiaServices,1268,-0.546775822,0.388684377,0,Cambodia,Services,2007
2004PeruGovernment,0.897025262,0.333087629,0,2011CambodiaFood,603,0.860506029,0.260565963,0,Cambodia,Food,2011
2004UruguayFood,-0.04786192,0.182361734,0,2011CambodiaGovernment,936,0.852620528,0.239756807,9.090909091,Cambodia,Government,2011
2004UruguayHousing,0,0,0,2011CambodiaHousing,1816,NA,NA,100,Cambodia,Housing,2011
2004UruguayPersonal Transportation,0.400925205,0.467727371,0,2011CambodiaPersonal Transportation,1602,-0.152534547,0.000179401,33.33333333,Cambodia,Personal Transportation,2011
2004UruguayGoods,0,0,0,2011CambodiaServices,1269,-0.513889364,0.395326168,0,Cambodia,Services,2011
2004UruguayServices,-0.268171247,0.385394708,12.5,2004CameroonFood,496,-0.571493378,0.137201326,0,Cameroon,Food,2004
2004UruguayGross Fixed Capital Formation,0,0,0,2004CameroonGovernment,829,-0.249643131,0.255235659,9.090909091,Cameroon,Government,2004
2004UruguayGovernment,1.293808643,0.398841698,9.090909091,2004CameroonHousing,1821,NA,NA,100,Cameroon,Housing,2004
2004Venezuela (Bolivarian Republic of)Food,-0.313866333,0.160427839,0,2004CameroonPersonal Transportation,1495,-0.713841939,0.373673901,0,Cameroon,Personal Transportation,2004
2004Venezuela (Bolivarian Republic of)Housing,-1.505261078,0.179410292,0,2004CameroonServices,1162,-0.984522416,0.190138389,37.5,Cameroon,Services,2004
2004Venezuela (Bolivarian Republic of)Personal Transportation,0.297068377,0.458824951,0,2007CameroonFood,497,-0.115948232,0.176023423,0,Cameroon,Food,2007
2004Venezuela (Bolivarian Republic of)Goods,0,0,100,2007CameroonGovernment,830,-0.171051476,0.232677161,0,Cameroon,Government,2007
2004Venezuela (Bolivarian Republic of)Services,0.02485017,0.532543136,25,2007CameroonHousing,1820,NA,NA,100,Cameroon,Housing,2007
2004Venezuela (Bolivarian Republic of)Gross Fixed Capital Formation,0,0,0,2007CameroonPersonal Transportation,1496,-0.729820873,0.372322555,0,Cameroon,Personal Transportation,2007
2004Venezuela (Bolivarian Republic of)Government,0.009648705,0.243460185,9.090909091,2007CameroonServices,1163,-1.135386931,0.242480625,12.5,Cameroon,Services,2007
2004Rest of South AmericaFood,0.047451426,0.191942101,0,2011CameroonFood,498,0.428562734,0.222143266,0,Cameroon,Food,2011
2004Rest of South AmericaHousing,0,0,100,2011CameroonGovernment,831,-0.392282773,0.223268919,9.090909091,Cameroon,Government,2011
2004Rest of South AmericaPersonal Transportation,0,0,100,2011CameroonHousing,1819,NA,NA,100,Cameroon,Housing,2011
2004Rest of South AmericaGoods,0,0,0,2011CameroonPersonal Transportation,1497,-0.608407802,0.382575933,0,Cameroon,Personal Transportation,2011
2004Rest of South AmericaServices,-0.618077941,0.276955836,62.5,2011CameroonServices,1164,-0.922356311,0.341071244,0,Cameroon,Services,2011
2004Rest of South AmericaGross Fixed Capital Formation,0,0,0,2004CanadaFood,487,-0.221478015,0.214982362,20,Canada,Food,2004
2004Rest of South AmericaGovernment,0.015851075,0.245892862,18.18181818,2004CanadaGovernment,820,0.557194922,0.308149574,27.27272727,Canada,Government,2004
2004Costa RicaFood,-0.103881737,0.175441056,0,2004CanadaHousing,1824,0.402021838,0.739530192,0,Canada,Housing,2004
2004Costa RicaHousing,0,0,100,2004CanadaPersonal Transportation,1486,0.048741619,0.014604227,33.33333333,Canada,Personal Transportation,2004
2004Costa RicaPersonal Transportation,0.114900083,0.443582853,0,2004CanadaServices,1153,0.781697114,0.502353562,50,Canada,Services,2004
2004Costa RicaGoods,0,0,0,2007CanadaFood,488,-0.181976743,0.218064525,20,Canada,Food,2007
2004Costa RicaServices,-0.146054219,0.395467692,12.5,2007CanadaGovernment,821,0.336660126,0.366352327,9.090909091,Canada,Government,2007
2004Costa RicaGross Fixed Capital Formation,0,0,0,2007CanadaHousing,1823,0.444965552,0.752141655,0,Canada,Housing,2007
2004Costa RicaGovernment,0.333705594,0.344320379,0,2007CanadaPersonal Transportation,1487,0.163851967,0.446084159,0,Canada,Personal Transportation,2007
2004GuatemalaFood,-0.366229375,0.154709712,0,2007CanadaServices,1154,0.973009584,0.547685639,50,Canada,Services,2007
2004GuatemalaHousing,0,0,100,2011CanadaFood,489,0.048661356,0.238445479,20,Canada,Food,2011
2004GuatemalaPersonal Transportation,-0.414657015,0.819764509,33.33333333,2011CanadaGovernment,822,0.118782976,0.35058573,18.18181818,Canada,Government,2011
2004GuatemalaGoods,0,0,0,2011CanadaHousing,1822,0.498420097,0.767839879,0,Canada,Housing,2011
2004GuatemalaServices,-0.499679578,0.458517419,12.5,2011CanadaPersonal Transportation,1488,0.231333589,0.451333398,0,Canada,Personal Transportation,2011
2004GuatemalaGross Fixed Capital Formation,0,0,0,2011CanadaServices,1155,1.101189765,0.577378888,50,Canada,Services,2011
2004GuatemalaGovernment,-0.247523765,0.201547893,9.090909091,2004CaribbeanFood,1,-0.04679475,0.208699821,9.552743992,Caribbean,Food,2004
2004HondurasFood,-0.414166112,0.149891792,0,2004CaribbeanGoods,25,NA,NA,NA,Caribbean,Goods,2004
2004HondurasHousing,0,0,100,2004CaribbeanGovernment,49,0.123574426,0.35773462,41.33558873,Caribbean,Government,2004
2004HondurasPersonal Transportation,0,0,100,2004CaribbeanHousing,73,-1.013510501,0.323824779,46.57557582,Caribbean,Housing,2004
2004HondurasGoods,0,0,0,2004CaribbeanPersonal Transportation,121,0.064111516,0.460950041,44.64425742,Caribbean,Personal Transportation,2004
2004HondurasServices,-0.363325206,0.401896892,25,2004CaribbeanServices,97,0.082707203,0.468823159,33.95384855,Caribbean,Services,2004
2004HondurasGross Fixed Capital Formation,0,0,0,2007CaribbeanFood,145,-0.051321755,0.207378696,9.552743992,Caribbean,Food,2007
2004HondurasGovernment,-0.232591079,0.127267327,18.18181818,2007CaribbeanGoods,169,NA,NA,NA,Caribbean,Goods,2007
2004NicaraguaFood,-0.45746019,0.147138037,0,2007CaribbeanGovernment,193,0.160163136,0.36114016,37.46609458,Caribbean,Government,2007
2004NicaraguaHousing,0,0,100,2007CaribbeanHousing,217,-1.027332893,0.319765498,46.57557582,Caribbean,Housing,2007
2004NicaraguaPersonal Transportation,0.791098411,0.921501883,33.33333333,2007CaribbeanPersonal Transportation,265,0.093890623,0.463459258,44.64425742,Caribbean,Personal Transportation,2007
2004NicaraguaGoods,0,0,0,2007CaribbeanServices,241,0.050608028,0.431787539,27.28918526,Caribbean,Services,2007
2004NicaraguaServices,-0.192662322,0.368192408,12.5,2011CaribbeanFood,289,0.177386571,0.225474617,9.39736464,Caribbean,Food,2011
2004NicaraguaGross Fixed Capital Formation,0,0,0,2011CaribbeanGoods,313,NA,NA,NA,Caribbean,Goods,2011
2004NicaraguaGovernment,-0.056409671,0.232278624,9.090909091,2011CaribbeanGovernment,337,0.19554551,0.325405499,36.96871042,Caribbean,Government,2011
2004PanamaFood,-0.383203837,0.153793143,0,2011CaribbeanHousing,361,-1.046174728,0.314232136,46.57557582,Caribbean,Housing,2011
2004PanamaHousing,0,0,100,2011CaribbeanPersonal Transportation,409,0.104553592,0.455168718,45.48745842,Caribbean,Personal Transportation,2011
2004PanamaPersonal Transportation,0.141023872,0.445768019,0,2011CaribbeanServices,385,0.138307301,0.442601376,27.71773569,Caribbean,Services,2011
2004PanamaGoods,0,0,0,2004Central AfricaFood,2,-0.738512733,0.166639023,16.04583158,Central Africa,Food,2004
2004PanamaServices,-0.589946563,0.396809777,0,2004Central AfricaGoods,26,NA,NA,NA,Central Africa,Goods,2004
2004PanamaGross Fixed Capital Formation,0,0,0,2004Central AfricaGovernment,50,-0.992402425,0.150797935,27.7210155,Central Africa,Government,2004
2004PanamaGovernment,0.139703738,0.308842655,0,2004Central AfricaHousing,74,NA,NA,100,Central Africa,Housing,2004
2004El SalvadorFood,-0.265198438,0.163214136,0,2004Central AfricaPersonal Transportation,122,-2.948023856,0.601260488,48.4467757,Central Africa,Personal Transportation,2004
2004El SalvadorHousing,0,0,100,2004Central AfricaServices,98,-0.938707292,0.368463581,37.80819816,Central Africa,Services,2004
2004El SalvadorPersonal Transportation,-0.042865953,0.430223715,0,2007Central AfricaFood,146,-0.346327183,0.200153448,16.04583158,Central Africa,Food,2007
2004El SalvadorGoods,0,0,0,2007Central AfricaGoods,170,NA,NA,NA,Central Africa,Goods,2007
2004El SalvadorServices,-0.591392773,0.216340435,25,2007Central AfricaGovernment,194,-0.99065453,0.115571614,34.40856483,Central Africa,Government,2007
2004El SalvadorGross Fixed Capital Formation,0,0,0,2007Central AfricaHousing,218,NA,NA,100,Central Africa,Housing,2007
2004El SalvadorGovernment,-0.117853658,0.237385076,9.090909091,2007Central AfricaPersonal Transportation,266,-3.29737017,0.570140786,61.6273371,Central Africa,Personal Transportation,2007
2004Rest of Central AmericaFood,0,0,0,2007Central AfricaServices,242,-0.829346846,0.306364042,44.84042138,Central Africa,Services,2007
2004Rest of Central AmericaHousing,0,0,0,2011Central AfricaFood,290,-0.192669984,0.200460491,11.42505163,Central Africa,Food,2011
2004Rest of Central AmericaPersonal Transportation,0,0,0,2011Central AfricaGoods,314,NA,NA,NA,Central Africa,Goods,2011
2004Rest of Central AmericaGoods,0,0,0,2011Central AfricaGovernment,338,-0.9254999,0.164210303,27.27272727,Central Africa,Government,2011
2004Rest of Central AmericaServices,0,0,0,2011Central AfricaHousing,362,NA,NA,100,Central Africa,Housing,2011
2004Rest of Central AmericaGross Fixed Capital Formation,0,0,0,2011Central AfricaPersonal Transportation,410,-1.56230052,0.319765741,14.58073807,Central Africa,Personal Transportation,2011
2004Rest of Central AmericaGovernment,0,0,0,2011Central AfricaServices,386,-0.938838804,0.324972469,5.268012664,Central Africa,Services,2011
2004Dominican RepublicFood,-0.277954219,0.164538916,0,2004ChileFood,493,0.210890299,0.2048807,0,Chile,Food,2004
2004Dominican RepublicHousing,0,0,100,2004ChileGovernment,826,0.156572662,0.306930748,0,Chile,Government,2004
2004Dominican RepublicPersonal Transportation,0.651444286,0.909718363,33.33333333,2004ChileHousing,1827,-0.697344848,0.416674493,0,Chile,Housing,2004
2004Dominican RepublicGoods,0,0,0,2004ChilePersonal Transportation,1492,0.024625206,0.43582062,0,Chile,Personal Transportation,2004
2004Dominican RepublicServices,-0.416236309,0.342935925,12.5,2004ChileServices,1159,-0.494129387,0.240207913,25,Chile,Services,2004
2004Dominican RepublicGross Fixed Capital Formation,0,0,0,2007ChileFood,494,0.354311748,0.216995928,0,Chile,Food,2007
2004Dominican RepublicGovernment,-0.015920825,0.245868917,9.090909091,2007ChileGovernment,827,0.199377754,0.311716331,0,Chile,Government,2007
2004JamaicaFood,-0.256581028,0.16216266,0,2007ChileHousing,1826,-0.30787706,0.531051158,0,Chile,Housing,2007
2004JamaicaHousing,0,0,100,2007ChilePersonal Transportation,1493,0.056197522,0.438429626,0,Chile,Personal Transportation,2007
